,Logistic,KNN,SVM,RF,ExT,Ada,Grad,XGB,CatB,MLP
0,0.759493670886076,0.8292682926829269,0.85,0.8181818181818182,0.776470588235294,0.75,0.8292682926829269,0.8433734939759038,0.853658536585366,0.8275862068965518
1,0.7294117647058824,0.7317073170731708,0.7654320987654321,0.7727272727272727,0.8,0.7441860465116279,0.7560975609756099,0.7391304347826085,0.7586206896551724,0.7789473684210526
2,0.5974025974025974,0.6666666666666667,0.6923076923076924,0.7529411764705882,0.7586206896551724,0.5897435897435898,0.6753246753246753,0.7586206896551724,0.7560975609756099,0.7045454545454546
3,0.6904761904761905,0.6666666666666667,0.7200000000000001,0.7058823529411764,0.6987951807228915,0.6666666666666667,0.717948717948718,0.65,0.7341772151898734,0.6829268292682927
4,0.711111111111111,0.7727272727272727,0.7954545454545455,0.7692307692307693,0.7608695652173914,0.6956521739130435,0.7526881720430109,0.7446808510638298,0.8043478260869565,0.7578947368421053
5,0.7555555555555555,0.7654320987654321,0.7857142857142858,0.776470588235294,0.813953488372093,0.7391304347826085,0.8045977011494252,0.7865168539325844,0.8089887640449438,0.7555555555555555
6,0.7865168539325844,0.8045977011494252,0.8372093023255814,0.7954545454545455,0.8089887640449438,0.7872340425531915,0.7865168539325844,0.8222222222222223,0.8409090909090908,0.8125
7,0.7209302325581396,0.7560975609756099,0.7710843373493975,0.7710843373493975,0.7529411764705882,0.6987951807228915,0.7857142857142858,0.813953488372093,0.8048780487804877,0.7816091954022988
8,0.7708333333333333,0.7872340425531915,0.8297872340425533,0.8085106382978724,0.8210526315789473,0.7755102040816326,0.8210526315789473,0.8484848484848485,0.8282828282828283,0.7999999999999999
9,0.7872340425531915,0.7640449438202247,0.7865168539325844,0.7872340425531915,0.7789473684210526,0.7640449438202247,0.8131868131868132,0.7959183673469389,0.8085106382978724,0.78
10,0.7857142857142858,0.7529411764705882,0.7999999999999999,0.8314606741573034,0.853932584269663,0.7560975609756099,0.7954545454545455,0.8181818181818182,0.8275862068965518,0.8
11,0.7096774193548387,0.7142857142857143,0.7727272727272727,0.8,0.8131868131868132,0.702127659574468,0.7415730337078652,0.8,0.75,0.795698924731183
12,0.725,0.7435897435897436,0.7848101265822786,0.7816091954022988,0.8,0.7,0.775,0.7954545454545455,0.8095238095238095,0.7857142857142858
13,0.761904761904762,0.7857142857142858,0.8333333333333333,0.8,0.7912087912087912,0.7209302325581396,0.8470588235294118,0.8444444444444444,0.8604651162790697,0.795698924731183
14,0.8085106382978724,0.8,0.8666666666666666,0.8045977011494252,0.7640449438202247,0.8085106382978724,0.8602150537634409,0.8172043010752688,0.845360824742268,0.7555555555555555
15,0.75,0.776470588235294,0.7529411764705882,0.723404255319149,0.7157894736842104,0.7674418604651162,0.7272727272727272,0.7499999999999999,0.7640449438202247,0.72
16,0.7640449438202247,0.7555555555555555,0.7865168539325844,0.7741935483870968,0.8043478260869565,0.7356321839080461,0.7441860465116279,0.7777777777777778,0.782608695652174,0.8131868131868132
17,0.6741573033707865,0.6913580246913581,0.6913580246913581,0.6585365853658538,0.6506024096385542,0.6666666666666666,0.6976744186046512,0.6896551724137931,0.6904761904761905,0.7058823529411764
18,0.6896551724137931,0.7142857142857143,0.7560975609756099,0.7674418604651162,0.7529411764705882,0.6666666666666666,0.7857142857142858,0.7294117647058824,0.7560975609756099,0.7777777777777778
19,0.6666666666666666,0.7,0.7999999999999999,0.7727272727272727,0.7777777777777778,0.688888888888889,0.7560975609756099,0.7640449438202247,0.7710843373493975,0.7191011235955057
20,0.6428571428571428,0.675,0.717948717948718,0.7380952380952381,0.7294117647058824,0.6428571428571428,0.675,0.7654320987654321,0.7341772151898734,0.7586206896551724
21,0.7045454545454546,0.6835443037974683,0.7435897435897436,0.7906976744186046,0.7816091954022988,0.6666666666666666,0.7317073170731708,0.7555555555555555,0.7999999999999999,0.7912087912087912
22,0.7191011235955057,0.6976744186046512,0.7380952380952381,0.7252747252747253,0.7252747252747253,0.711111111111111,0.7415730337078652,0.723404255319149,0.7640449438202247,0.717391304347826
23,0.7415730337078652,0.761904761904762,0.7674418604651162,0.6896551724137931,0.7045454545454546,0.711111111111111,0.7209302325581396,0.7191011235955057,0.7333333333333332,0.7272727272727272
24,0.7954545454545455,0.8470588235294118,0.8837209302325583,0.898876404494382,0.8817204301075269,0.7816091954022988,0.8791208791208792,0.8764044943820224,0.8735632183908046,0.8913043478260869
25,0.761904761904762,0.725,0.759493670886076,0.7441860465116279,0.6976744186046512,0.7380952380952381,0.7435897435897436,0.7586206896551724,0.7380952380952381,0.7126436781609194
26,0.7526881720430109,0.7912087912087912,0.8125,0.8210526315789473,0.8163265306122449,0.7422680412371134,0.7872340425531915,0.8125,0.8080808080808081,0.8
27,0.8089887640449438,0.8275862068965518,0.8372093023255814,0.8571428571428571,0.8181818181818182,0.7816091954022988,0.8235294117647058,0.8085106382978724,0.8666666666666666,0.8125
28,0.7472527472527473,0.7912087912087912,0.7999999999999999,0.7499999999999999,0.723404255319149,0.7391304347826085,0.746987951807229,0.7191011235955057,0.7674418604651162,0.7096774193548387
29,0.717948717948718,0.6835443037974683,0.7710843373493975,0.7857142857142858,0.8314606741573034,0.6913580246913581,0.7999999999999999,0.8181818181818182,0.7999999999999999,0.7415730337078652
