,Logistic,KNN,SVM,RF,ExT,Ada,Grad,XGB,CatB,MLP
0,0.7297297297297296,0.7536231884057971,0.7777777777777778,0.7397260273972601,0.7297297297297296,0.7123287671232877,0.7500000000000001,0.7012987012987013,0.7500000000000001,0.7123287671232877
1,0.8571428571428572,0.7222222222222221,0.7945205479452054,0.8051948051948051,0.8311688311688312,0.8157894736842105,0.8533333333333333,0.8421052631578947,0.8266666666666667,0.8421052631578947
2,0.8378378378378378,0.8169014084507042,0.8450704225352113,0.7945205479452054,0.8311688311688312,0.7887323943661971,0.7894736842105263,0.7777777777777778,0.8169014084507042,0.7948717948717948
3,0.8354430379746836,0.7894736842105263,0.8799999999999999,0.8533333333333333,0.868421052631579,0.7792207792207793,0.8500000000000001,0.8571428571428572,0.868421052631579,0.8292682926829267
4,0.7435897435897437,0.6842105263157895,0.7466666666666666,0.691358024691358,0.6987951807228915,0.7027027027027027,0.7407407407407408,0.7073170731707318,0.7073170731707318,0.7727272727272728
5,0.7733333333333333,0.7397260273972603,0.7777777777777777,0.717948717948718,0.7532467532467533,0.7397260273972603,0.8055555555555555,0.7792207792207791,0.7894736842105262,0.7272727272727273
6,0.8378378378378379,0.7323943661971831,0.75,0.7945205479452054,0.7837837837837837,0.7368421052631577,0.8421052631578948,0.7733333333333333,0.8108108108108107,0.821917808219178
7,0.825,0.810126582278481,0.8354430379746836,0.8048780487804876,0.8192771084337349,0.8192771084337349,0.8148148148148149,0.8292682926829269,0.825,0.825
8,0.8192771084337349,0.7948717948717949,0.8205128205128205,0.7848101265822786,0.761904761904762,0.8292682926829269,0.7901234567901235,0.7804878048780488,0.8051948051948051,0.7692307692307692
9,0.6666666666666665,0.6857142857142857,0.676470588235294,0.6470588235294117,0.6666666666666666,0.7042253521126761,0.6470588235294117,0.6666666666666666,0.676470588235294,0.6268656716417911
10,0.8148148148148148,0.8157894736842105,0.8311688311688312,0.7894736842105263,0.7749999999999999,0.7901234567901233,0.8461538461538461,0.7341772151898733,0.7948717948717948,0.7710843373493976
11,0.7435897435897437,0.6944444444444444,0.7297297297297296,0.8055555555555556,0.7605633802816902,0.6216216216216216,0.7397260273972601,0.767123287671233,0.7428571428571428,0.7837837837837838
12,0.8157894736842105,0.8571428571428572,0.8918918918918919,0.8,0.810126582278481,0.8493150684931507,0.8378378378378378,0.8205128205128205,0.8378378378378378,0.8205128205128205
13,0.8157894736842105,0.7199999999999999,0.7631578947368421,0.7560975609756098,0.7710843373493976,0.8157894736842105,0.7733333333333334,0.7594936708860761,0.7272727272727273,0.7945205479452054
14,0.7777777777777778,0.6571428571428573,0.7647058823529411,0.7826086956521738,0.7887323943661971,0.6875,0.746268656716418,0.7647058823529411,0.7647058823529411,0.7826086956521738
15,0.8536585365853658,0.7435897435897436,0.8493150684931509,0.7804878048780488,0.7901234567901235,0.7692307692307692,0.8157894736842106,0.8157894736842106,0.8461538461538461,0.8395061728395061
16,0.7901234567901235,0.6849315068493151,0.7142857142857143,0.75,0.7250000000000001,0.7692307692307692,0.7631578947368423,0.717948717948718,0.7368421052631577,0.7160493827160495
17,0.7567567567567567,0.7042253521126761,0.7671232876712328,0.6923076923076923,0.717948717948718,0.717948717948718,0.7671232876712328,0.708860759493671,0.7105263157894738,0.7105263157894738
18,0.813953488372093,0.8311688311688312,0.8421052631578948,0.7594936708860761,0.75,0.7692307692307692,0.8048780487804876,0.7710843373493975,0.7951807228915662,0.776470588235294
19,0.8285714285714285,0.7945205479452054,0.821917808219178,0.8169014084507041,0.8493150684931509,0.8108108108108107,0.8108108108108107,0.8108108108108107,0.8055555555555555,0.8169014084507041
20,0.7435897435897437,0.7631578947368421,0.8,0.736842105263158,0.7160493827160495,0.7341772151898733,0.8051948051948051,0.7272727272727273,0.767123287671233,0.717948717948718
21,0.891566265060241,0.8831168831168831,0.8974358974358975,0.8470588235294118,0.8372093023255814,0.8148148148148148,0.888888888888889,0.8409090909090908,0.8604651162790696,0.8505747126436781
22,0.8395061728395062,0.7123287671232877,0.8055555555555556,0.8311688311688312,0.8205128205128205,0.7837837837837838,0.8607594936708861,0.8500000000000001,0.8205128205128205,0.7837837837837838
23,0.7901234567901233,0.7532467532467534,0.8378378378378378,0.8051948051948051,0.8148148148148148,0.8205128205128205,0.767123287671233,0.8051948051948051,0.7894736842105263,0.8051948051948051
24,0.7500000000000001,0.6567164179104477,0.676923076923077,0.7272727272727274,0.676470588235294,0.6363636363636364,0.6363636363636364,0.6461538461538461,0.6461538461538461,0.7222222222222221
25,0.8000000000000002,0.7246376811594203,0.7605633802816901,0.6944444444444444,0.7297297297297296,0.775,0.7594936708860761,0.7027027027027027,0.7123287671232875,0.75
26,0.825,0.7631578947368423,0.825,0.7792207792207791,0.7901234567901235,0.8192771084337349,0.875,0.775,0.7792207792207791,0.7901234567901235
27,0.8108108108108107,0.7837837837837837,0.8157894736842106,0.7999999999999999,0.7894736842105262,0.7792207792207791,0.7894736842105262,0.7999999999999999,0.7631578947368423,0.7837837837837837
28,0.7948717948717949,0.7733333333333333,0.7733333333333333,0.7532467532467533,0.7341772151898733,0.7837837837837837,0.75,0.7435897435897436,0.7466666666666666,0.7105263157894738
29,0.8378378378378379,0.7466666666666666,0.8378378378378379,0.7945205479452054,0.7837837837837837,0.7837837837837837,0.8571428571428571,0.7837837837837837,0.8108108108108107,0.7631578947368423
